rule_code,severity,scene_id,shot_id,asset_id,title,reason,recommendation
MISSING_VISUAL,high,S06,,,Создать материал: document note close,Шот 46 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Остров Бичи. Required visual: document note close. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S07,,,Создать материал: document note close,Шот 50 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: document note close. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S07,,,Создать материал: document note close,Шот 54 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: document note close. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S07,,,Создать материал: document note map,Шот 55 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: document note map. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S08,,,Создать материал: document text,Шот 56 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: document text. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S08,,,Создать материал: document note map,Шот 59 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: document note map. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S08,,,Создать материал: document text,Шот 60 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: document text. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S08,,,Создать материал: document note map,Шот 63 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: document note map. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S14,,,Создать материал: medical notes,Шот 107 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,"Ultra photorealistic historical documentary frame. Scene: Торрингтон и масштаб исследования. Required visual: medical notes. Emotion: удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S14,,,Создать материал: medical notes,Шот 111 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,"Ultra photorealistic historical documentary frame. Scene: Торрингтон и масштаб исследования. Required visual: medical notes. Emotion: удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S15,,,Создать материал: sonar screen,Шот 123 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,"Ultra photorealistic historical documentary frame. Scene: Свинец и новая картина. Required visual: sonar screen. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S16,,,Создать материал: underwater robot,Шот 126 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,"Ultra photorealistic historical documentary frame. Scene: Современные поиски. Required visual: underwater robot. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S16,,,Создать материал: sonar screen,Шот 127 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,"Ultra photorealistic historical documentary frame. Scene: Современные поиски. Required visual: sonar screen. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S16,,,Создать материал: underwater robot,Шот 130 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,"Ultra photorealistic historical documentary frame. Scene: Современные поиски. Required visual: underwater robot. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S16,,,Создать материал: sonar screen,Шот 131 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,"Ultra photorealistic historical documentary frame. Scene: Современные поиски. Required visual: sonar screen. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S06,,,Создать материал: grave marker,Шот 38 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Остров Бичи. Required visual: grave marker. Emotion: спокойное потрясение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S06,,,Создать материал: can archive,Шот 39 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Остров Бичи. Required visual: can archive. Emotion: спокойное потрясение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S06,,,Создать материал: grave marker,Шот 42 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Остров Бичи. Required visual: grave marker. Emotion: спокойное потрясение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S06,,,Создать материал: can archive,Шот 43 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Остров Бичи. Required visual: can archive. Emotion: спокойное потрясение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S07,,,Создать материал: stone cairn,Шот 47 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: stone cairn. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S07,,,Создать материал: metal cylinder,Шот 48 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: metal cylinder. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S07,,,Создать материал: paper reveal,Шот 49 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: paper reveal. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S07,,,Создать материал: stone cairn,Шот 51 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: stone cairn. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S07,,,Создать материал: metal cylinder,Шот 52 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: metal cylinder. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S07,,,Создать материал: paper reveal,Шот 53 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: paper reveal. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S08,,,Создать материал: map route,Шот 57 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: map route. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S08,,,Создать материал: map route,Шот 61 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: map route. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S08,,,Создать материал: people snow trail,Шот 64 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: people snow trail. Emotion: неизвестность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S09,,,Создать материал: footprints snow,Шот 65 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,"Ultra photorealistic historical documentary frame. Scene: Сто пять человек уходят пешком. Required visual: footprints snow. Emotion: неизвестность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
MISSING_VISUAL,high,S09,,,Создать материал: white horizon,Шот 66 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,"Ultra photorealistic historical documentary frame. Scene: Сто пять человек уходят пешком. Required visual: white horizon. Emotion: неизвестность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
